Date,Open,High,Low,Close,Adj Close,Volume
2020-06-04,81.097504,81.404999,80.195000,80.580002,80.040680,87560400
2020-06-05,80.837502,82.937500,80.807503,82.875000,82.320328,137250400
2020-06-08,82.562500,83.400002,81.830002,83.364998,82.807037,95654400
2020-06-09,83.035004,86.402496,83.002502,85.997498,85.421921,147712400
2020-06-10,86.974998,88.692497,86.522499,88.209999,87.619614,166651600
2020-06-11,87.327499,87.764999,83.870003,83.974998,83.412964,201662400
2020-06-12,86.180000,86.949997,83.555000,84.699997,84.133095,200146000
