nActionDay,nTime,nPrice,nVolume
20200526,93000000,6639800,400 100
20200526,93000000,6635000,200
20200526,93003000,6641900,4400 200 3400
20200526,93003000,6640900,100
20200526,93006000,6640900,100 100
20200526,93006000,6639800,100
20200526,93009000,6640000,500 200 100 100 100 1000
20200526,93009000,6635000,200
20200526,93012000,6635000,100 100 100 100
20200526,93012000,6633300,500 500 200 100 100 100 100 100 100 1000 100 200
20200526,93015000,6640800,100
20200526,93015000,6640000,200 500 200 1100 1400 200 200 1000 1400 600 900 1200 1400
20200526,93018000,6641900,2610
20200526,93018000,6640000,1000 1400 200 200 1000 1400 600 900 1200 1400 100 100
20200526,93021000,6641900,910
20200526,93021000,6640000,500 1400 200 200 1000 1400 600 900 1200 1400 100 100 300 100
20200526,93024000,6641900,710
20200526,93024000,6633300,100
20200526,93027000,6639600,100
20200526,93027000,6633300,100
20200526,93030000,6635000,400
20200526,93030000,6633400,43
20200526,93033000,6633100,157
20200526,93033000,6631700,1500
20200526,93036000,6640000,1068 2000 200 100 100 100 100
20200526,93036000,6633300,100
20200526,93039000,6631700,100 200
20200526,93039000,6630000,900 1500 100 200 300 100
20200526,93042000,6630200,600
20200526,93042000,6630000,700 1500 100 200 300 100
20200526,93045000,6630100,357
20200526,93045000,6630000,100 1500 100 200 100 100
20200526,93048000,6629900,100
20200526,93048000,6626300,100
20200526,93051000,6630000,500 300 100 100 100 100 100 100 100 100 200
20200526,93051000,6625400,100
20200526,93054000,6630000,457 300 100 100 100 100 100 100 100 100 200 100 100 100 100 200
20200526,93054000,6625400,100
20200526,93057000,6625400,100
20200526,93057000,6621200,200
20200526,93100000,6625400,700
20200526,93100000,6621200,100
20200526,93103000,6621200,100
20200526,93103000,6617000,900
20200526,93106000,6630200,57
20200526,93106000,6617100,100
20200526,93109000,6623000,200
20200526,93109000,6617000,900
20200526,93112000,6630000,700 100 100
20200526,93112000,6618400,100
20200526,93115000,6630000,100 100
20200526,93115000,6621200,600
20200526,93118000,6630000,100
20200526,93118000,6620000,9700
20200526,93121000,6630000,100
20200526,93121000,6620000,6700 100 100
20200526,93124000,6630200,57
20200526,93124000,6630000,100
20200526,93127000,6631700,57
20200526,93127000,6630200,100 100 100 100 100 100 100 100 100
20200526,93130000,6639400,100
20200526,93130000,6635000,943
20200526,93133000,6639400,500
20200526,93133000,6630200,43 100 100 100 100 100 100
20200526,93136000,6639400,300
20200526,93136000,6630200,43 100 200
20200526,93139000,6637800,157
20200526,93139000,6620900,100
20200526,93142000,6639400,100 100 100
20200526,93142000,6621000,100
20200526,93145000,6639900,100 200
20200526,93145000,6639400,700 100 100
20200526,93148000,6645000,100 100 100
20200526,93148000,6641900,90
20200526,93151000,6647700,400
20200526,93151000,6645000,200
20200526,93154000,6649900,100 500 500 100
20200526,93154000,6646000,100
20200526,93157000,6655000,100
20200526,93157000,6650000,7600
20200526,93200000,6656600,100 100
20200526,93200000,6656300,43
20200526,93203000,6662000,33
20200526,93203000,6656600,100
