nActionDay,nTime,nPrice,nVolume
20200525,93107670,6420000,100
20200525,93107670,6420000,100
20200525,93107690,6420000,400
20200525,93107990,6410200,100
20200525,93108070,6401100,100
20200525,93108120,6401100,100
20200525,93109200,6401200,100
20200525,93109410,6401200,100
20200525,93109620,6420000,300
20200525,93109680,6420000,100
20200525,93110080,6422600,100
20200525,93110820,6422600,100
20200525,93111840,6422600,100
20200525,93111840,6420000,100
20200525,93111870,6420000,100
20200525,93112710,6420100,100
20200525,93113290,6420100,100
20200525,93113350,6420000,100
20200525,93113790,6420200,100
20200525,93114550,6420000,100
20200525,93115080,6420000,100
20200525,93115140,6430500,300
20200525,93117540,6401600,100
20200525,93118420,6430500,100
20200525,93119730,6402000,100
20200525,93119730,6401700,100
20200525,93119730,6401600,100
20200525,93119730,6401500,100
20200525,93119730,6401500,200
20200525,93119730,6401500,100
20200525,93119730,6401500,100
20200525,93119730,6401500,100
20200525,93119730,6401400,100
20200525,93119730,6401300,100
20200525,93119730,6401300,900
20200525,93119730,6401300,100
20200525,93119730,6401200,100
20200525,93119730,6401100,100
20200525,93119730,6401000,100
20200525,93119730,6400500,100
20200525,93119760,6400500,100
20200525,93119760,6400300,100
20200525,93119760,6400300,200
20200525,93119760,6400200,100
20200525,93119760,6400200,100
20200525,93119760,6400100,200
20200525,93119760,6400100,100
20200525,93119760,6400000,100
20200525,93119760,6400000,100
20200525,93119760,6400000,100
20200525,93119760,6400000,100
20200525,93119790,6400000,100
20200525,93119790,6400000,100
20200525,93119790,6400000,100
20200525,93119790,6400000,100
20200525,93119790,6400000,100
20200525,93119790,6400000,100
20200525,93119790,6400000,100
20200525,93119790,6400000,100
20200525,93119790,6400000,100
20200525,93119790,6400000,100
20200525,93120210,6410000,100
20200525,93121770,6410000,100
20200525,93121840,6410000,100
20200525,93121840,6430500,100
20200525,93122900,6420000,100
20200525,93122980,6430000,100
20200525,93123120,6410300,100
20200525,93123240,6403300,100
20200525,93123240,6403300,100
20200525,93123240,6403200,300
20200525,93123320,6403300,100
20200525,93123970,6410000,300
20200525,93123970,6403300,100
20200525,93124600,6402100,200
20200525,93124600,6402100,100
20200525,93124600,6402000,100
20200525,93124600,6402000,100
20200525,93124600,6402000,100
20200525,93124600,6402000,200
20200525,93124600,6401800,100
20200525,93124600,6401800,100
20200525,93124600,6401800,300
20200525,93124600,6401600,200
20200525,93124600,6401600,100
20200525,93124600,6401500,200
20200525,93124600,6401000,100
20200525,93124600,6401000,100
20200525,93124600,6401000,100
20200525,93124610,6401000,200
20200525,93125400,6430000,100
20200525,93125430,6402000,100
20200525,93126000,6430400,100
20200525,93126500,6430500,100
20200525,93127050,6410000,100
20200525,93128450,6410000,200
20200525,93128530,6410000,100
20200525,93129020,6410000,100
20200525,93130440,6410100,100
20200525,93130440,6410000,300
20200525,93130990,6422700,100
20200525,93131680,6410100,100
20200525,93131700,6410100,100
20200525,93131800,6422700,100
20200525,93134510,6411800,100
20200525,93135060,6411900,100
20200525,93135060,6411800,100
20200525,93136560,6422700,100
20200525,93136620,6411100,100
20200525,93138350,6425100,100
20200525,93139610,6429900,100
20200525,93139950,6422700,100
20200525,93139950,6422700,100
20200525,93139950,6413000,100
20200525,93139950,6412000,300
20200525,93139950,6411100,100
20200525,93140260,6411000,100
20200525,93141370,6411100,100
20200525,93141540,6411100,100
20200525,93142300,6422700,100
20200525,93142300,6422700,100
20200525,93142300,6411200,100
20200525,93142300,6411200,100
20200525,93142300,6411000,400
20200525,93142670,6429900,100
20200525,93142680,6411000,100
20200525,93143990,6411100,100
20200525,93145130,6422700,100
20200525,93145130,6422700,100
20200525,93146070,6422700,300
20200525,93146250,6415000,100
20200525,93146380,6422700,100
20200525,93147110,6425100,100
20200525,93147360,6429900,100
20200525,93147920,6422700,100
20200525,93148400,6413000,100
20200525,93148490,6422700,200
20200525,93149260,6413000,100
20200525,93149560,6412800,300
20200525,93152180,6422700,400
20200525,93152740,6429900,200
20200525,93153410,6422900,200
20200525,93153430,6422900,300
20200525,93154100,6430000,100
20200525,93154100,6430000,100
20200525,93154100,6430000,100
20200525,93154100,6430000,300
20200525,93154100,6430000,1000
20200525,93154100,6430000,200
20200525,93154550,6430000,100
20200525,93154620,6430000,100
20200525,93154690,6430500,200
20200525,93154690,6430000,200
20200525,93155160,6432300,100
20200525,93155560,6430000,400
20200525,93157140,6432600,100
20200525,93157730,6430700,100
20200525,93157920,6430700,100
20200525,93158920,6430000,100
20200525,93200280,6432300,100
20200525,93200470,6430700,100
20200525,93200630,6432700,100
20200525,93200990,6430700,100
20200525,93200990,6430700,100
20200525,93201360,6430500,300
20200525,93201360,6430500,100
20200525,93201360,6430000,100
20200525,93202490,6432800,100
20200525,93202490,6432800,100
20200525,93202510,6432800,100
20200525,93202900,6432600,300
20200525,93203660,6432800,400
20200525,93203660,6432800,100
20200525,93203660,6432800,300
20200525,93203720,6432800,100
20200525,93205970,6432800,100
20200525,93206070,6433000,100
20200525,93206070,6433000,900
20200525,93206220,6432800,100
20200525,93206400,6433000,100
20200525,93207130,6433000,100
20200525,93207660,6433000,100
20200525,93207760,6433000,900
20200525,93207760,6433000,100
20200525,93207760,6432800,100
20200525,93207760,6432800,100
20200525,93207760,6432800,100
20200525,93207760,6432800,200
20200525,93207760,6432700,200
20200525,93207760,6432000,100
20200525,93207760,6430500,300
20200525,93207760,6430500,300
20200525,93207760,6430000,200
20200525,93209660,6430000,200
20200525,93209660,6430000,500
20200525,93209660,6430000,200
20200525,93209660,6430000,400
20200525,93210150,6430000,100
20200525,93210160,6430000,100
20200525,93210280,6430000,200
20200525,93211290,6422900,100
20200525,93212410,6430000,200
20200525,93212630,6430000,200
20200525,93212640,6430000,300
20200525,93215040,6432800,100
20200525,93215630,6432800,100
20200525,93215680,6432700,100
20200525,93216670,6432800,900
20200525,93218630,6432800,100
20200525,93218640,6432800,200
20200525,93218640,6432800,100
20200525,93218960,6432800,100
20200525,93219710,6432700,100
20200525,93220460,6433000,100
20200525,93223550,6432700,200
20200525,93224640,6432800,100
20200525,93224680,6434000,200
20200525,93224680,6435000,100
20200525,93224750,6435000,100
20200525,93224760,6432800,100
20200525,93225670,6432800,100
20200525,93227230,6433100,100
20200525,93227630,6433000,100
20200525,93230250,6433100,100
20200525,93230960,6433000,100
20200525,93233850,6433000,100
20200525,93235230,6433000,100
20200525,93235360,6433100,100
20200525,93235790,6439000,100
20200525,93236630,6439900,100
20200525,93237260,6439000,100
20200525,93237260,6439000,100
20200525,93237260,6439000,100
20200525,93237260,6433000,100
20200525,93237260,6433000,100
20200525,93237260,6433000,100
20200525,93237310,6433000,100
20200525,93238350,6433100,100
20200525,93242650,6439800,100
20200525,93243090,6439800,100
20200525,93243090,6433100,100
20200525,93243250,6439900,100
20200525,93243250,6440000,100
20200525,93243270,6440000,100
20200525,93246210,6439000,100
20200525,93246320,6439000,100
20200525,93248340,6442800,100
20200525,93252500,6449900,100
20200525,93252590,6450000,100
20200525,93252680,6450900,100
20200525,93252690,6451100,4800
20200525,93252850,6451100,600
20200525,93254200,6451100,200
20200525,93254200,6451100,200
20200525,93254620,6451100,200
20200525,93254630,6451100,100
20200525,93256150,6451100,100
20200525,93256310,6451100,100
20200525,93256310,6451100,200
20200525,93256310,6450100,100
20200525,93256310,6450000,100
20200525,93256310,6450000,100
20200525,93256310,6450000,300
20200525,93256310,6450000,100
20200525,93256310,6450000,100
20200525,93256310,6449900,100
20200525,93256310,6449900,100
20200525,93256320,6449800,300
20200525,93257650,6460000,100
20200525,93258130,6460200,100
20200525,93258710,6452900,100
20200525,93259970,6452900,100
20200525,93259970,6460200,100
20200525,93259970,6460200,100
20200525,93259970,6460200,100
20200525,93259970,6460200,100
20200525,93259970,6461300,100
20200525,93259970,6461400,100
20200525,93259970,6461400,100
20200525,93259970,6461400,100
20200525,93259980,6465000,100
20200525,93300650,6465000,100
20200525,93303650,6468300,100
20200525,93303780,6468300,200
20200525,93303780,6470000,300
20200525,93303780,6470000,100
20200525,93303800,6470000,100
20200525,93304400,6470000,300
20200525,93304400,6468300,100
20200525,93304400,6461400,500
20200525,93304400,6460100,100
20200525,93304400,6460000,200
20200525,93304400,6450000,200
20200525,93304400,6450000,100
20200525,93304400,6450000,2200
20200525,93305040,6468300,100
20200525,93305040,6469600,100
20200525,93308020,6461400,1400
20200525,93308020,6460000,100
20200525,93308030,6460000,100
20200525,93308520,6451900,1300
20200525,93308890,6460000,100
20200525,93309530,6460000,100
20200525,93309620,6460000,100
20200525,93309620,6460000,100
20200525,93309620,6460000,100
20200525,93309620,6460000,100
20200525,93309630,6460000,100
20200525,93309630,6460000,100
20200525,93309740,6460000,100
20200525,93312200,6460000,700
20200525,93312200,6460000,100
20200525,93312560,6460000,100
20200525,93313840,6460000,100
20200525,93313910,6460000,700
20200525,93314630,6460000,100
20200525,93315100,6460000,100
20200525,93315760,6460000,100
20200525,93317350,6460000,100
20200525,93317850,6451900,600
20200525,93318660,6452000,100
20200525,93318660,6451900,300
20200525,93318660,6451900,100
20200525,93318710,6451900,300
20200525,93318710,6451900,100
20200525,93318710,6459900,200
20200525,93318710,6460000,100
20200525,93318710,6460000,100
20200525,93318710,6460000,100
20200525,93318710,6460000,100
20200525,93318710,6460000,100
20200525,93318910,6451900,200
20200525,93318910,6459900,100
20200525,93318910,6460000,100
20200525,93318910,6460000,100
20200525,93318910,6460000,100
20200525,93318920,6460200,200
20200525,93320210,6460000,100
20200525,93320500,6460000,100
20200525,93320500,6460000,100
20200525,93320530,6460000,100
20200525,93321140,6451700,100
20200525,93321160,6449900,100
20200525,93321190,6449900,100
20200525,93321710,6448600,500
20200525,93321710,6449900,100
20200525,93321710,6449900,200
20200525,93321710,6451700,100
20200525,93322430,6449900,100
20200525,93322590,6450000,100
20200525,93322730,6450000,100
20200525,93322730,6450000,100
20200525,93323090,6451700,400
20200525,93323100,6450000,100
20200525,93323120,6450000,100
20200525,93323540,6450000,100
20200525,93324060,6449900,100
20200525,93324710,6449900,100
20200525,93325230,6449900,100
20200525,93325230,6449900,100
20200525,93325230,6451700,400
20200525,93325230,6460000,100
20200525,93325240,6460000,1300
20200525,93325340,6442600,100
20200525,93327020,6460000,100
20200525,93327020,6460000,100
20200525,93327040,6460000,100
20200525,93327150,6460000,600
20200525,93327620,6460000,200
20200525,93327770,6457500,300
20200525,93327770,6458700,100
20200525,93328410,6458700,200
20200525,93328410,6459900,200
20200525,93330360,6452200,100
20200525,93330360,6451700,100
20200525,93330470,6451700,100
20200525,93330690,6451700,100
20200525,93330690,6458400,300
20200525,93330690,6459800,800
20200525,93332380,6450000,100
20200525,93332430,6451700,100
20200525,93333250,6459800,300
20200525,93333440,6451700,100
20200525,93334550,6451700,100
20200525,93334550,6451700,100
20200525,93336090,6459700,100
20200525,93337250,6451800,100
20200525,93338460,6451700,200
20200525,93338460,6459500,100
20200525,93338780,6459700,100
20200525,93339480,6459700,100
20200525,93339480,6459800,100
20200525,93339810,6459700,100
20200525,93339810,6459800,100
20200525,93340380,6459800,100
20200525,93340540,6459800,400
20200525,93340760,6459800,200
20200525,93340780,6459800,100
20200525,93341250,6459800,100
20200525,93342300,6458800,100
20200525,93342750,6451900,100
20200525,93343270,6458800,100
20200525,93343810,6458800,100
20200525,93344470,6451700,100
20200525,93345280,6450000,100
20200525,93345690,6460000,200
20200525,93345720,6460000,400
20200525,93347290,6450100,100
20200525,93347290,6450000,200
20200525,93347290,6450000,300
20200525,93348630,6449800,300
20200525,93348650,6449800,100
20200525,93348980,6451100,100
20200525,93349030,6451100,100
20200525,93349210,6451100,200
20200525,93349300,6451100,200
20200525,93350620,6451100,200
20200525,93350620,6450000,100
20200525,93350620,6450000,100
20200525,93350620,6450000,200
20200525,93350860,6451700,100
20200525,93351830,6459500,100
20200525,93353370,6459500,100
20200525,93353680,6459000,100
20200525,93354200,6450000,100
20200525,93354410,6450000,100
20200525,93355310,6459500,100
20200525,93355310,6459900,100
20200525,93355310,6460000,200
20200525,93355310,6460000,100
20200525,93357900,6450000,100
20200525,93358080,6450000,100
20200525,93359270,6450000,100
20200525,93400060,6450000,100
20200525,93400160,6450000,100
20200525,93400170,6450000,100
20200525,93401000,6451200,100
20200525,93401020,6459000,100
20200525,93402160,6451200,200
20200525,93403270,6459500,100
20200525,93404430,6459000,100
20200525,93406690,6459500,100
20200525,93406690,6459700,100
20200525,93406690,6459900,100
20200525,93407480,6459600,100
20200525,93407480,6452900,100
20200525,93409620,6460000,100
20200525,93409620,6460000,100
20200525,93409630,6460000,100
20200525,93409670,6460100,100
20200525,93409670,6460500,100
20200525,93410620,6460200,100
20200525,93411130,6460200,100
20200525,93411590,6460000,100
20200525,93412500,6465000,100
20200525,93413970,6460000,100
20200525,93413970,6460000,100
20200525,93413970,6460000,100
20200525,93413970,6460000,100
20200525,93413970,6460000,100
20200525,93414620,6456000,100
20200525,93414620,6455000,100
20200525,93414620,6455000,100
20200525,93414680,6455000,100
20200525,93415140,6455000,100
20200525,93415670,6467000,100
20200525,93417810,6459800,100
20200525,93417870,6459500,200
20200525,93418620,6459800,200
20200525,93418630,6459800,100
20200525,93418720,6459800,100
20200525,93418770,6459800,100
20200525,93418770,6459800,100
20200525,93418790,6459800,100
20200525,93418860,6459800,100
20200525,93420150,6459800,100
20200525,93420150,6460000,300
20200525,93420150,6460000,500
20200525,93421410,6460000,500
20200525,93422940,6461300,100
20200525,93424420,6465000,100
20200525,93424760,6460000,100
20200525,93425480,6460000,100
20200525,93425480,6459800,100
20200525,93425550,6459500,200
20200525,93427740,6467000,300
20200525,93428610,6461300,100
20200525,93429670,6466800,100
20200525,93430780,6468000,100
20200525,93431910,6467200,100
20200525,93432360,6467200,100
20200525,93432710,6467200,200
20200525,93432950,6467200,100
20200525,93433760,6470000,100
20200525,93435350,6467300,100
20200525,93436570,6459800,100
20200525,93436790,6467200,100
20200525,93437780,6467100,100
20200525,93439200,6471900,100
20200525,93439790,6471900,100
20200525,93441150,6470000,100
20200525,93441340,6470000,100
20200525,93441340,6468000,100
20200525,93442760,6468000,400
20200525,93443630,6467300,100
20200525,93444680,6467300,100
20200525,93444960,6467100,100
20200525,93445680,6467100,400
20200525,93447360,6460000,100
20200525,93448030,6460000,100
20200525,93448030,6460000,100
20200525,93448760,6467100,400
20200525,93448820,6459800,100
20200525,93449500,6468000,100
20200525,93451760,6468000,100
20200525,93452080,6468000,100
20200525,93452080,6467100,100
20200525,93459210,6473600,100
20200525,93500190,6473500,100
20200525,93503470,6468000,100
20200525,93504200,6468000,200
20200525,93504490,6468000,100
20200525,93504510,6473500,100
20200525,93506160,6468000,100
20200525,93506180,6468000,200
20200525,93507340,6473600,100
20200525,93508500,6473500,100
20200525,93508770,6473600,100
20200525,93508770,6473800,100
20200525,93509810,6474800,100
20200525,93511690,6469000,100
20200525,93512360,6473500,100
20200525,93513150,6469000,200
20200525,93517100,6468000,100
20200525,93519200,6473500,100
20200525,93519450,6473800,100
20200525,93521670,6473700,100
20200525,93522310,6470100,100
20200525,93522790,6473700,100
20200525,93525530,6473800,100
20200525,93525530,6474500,100
20200525,93526200,6473500,100
20200525,93527250,6473700,100
20200525,93528250,6474800,100
20200525,93529250,6477900,100
20200525,93530170,6473900,100
20200525,93530170,6473700,100
20200525,93530170,6473700,100
20200525,93530170,6470100,900
20200525,93530250,6470000,100
20200525,93530470,6470000,500
20200525,93530710,6473500,100
20200525,93530880,6479100,100
20200525,93530880,6479100,100
20200525,93530880,6479100,100
20200525,93530880,6479100,100
20200525,93530880,6479100,100
20200525,93531200,6479100,100
20200525,93531470,6479100,100
20200525,93531870,6479100,100
20200525,93531870,6479100,100
20200525,93531870,6474800,100
20200525,93533660,6482900,100
20200525,93534250,6483900,100
20200525,93535660,6473900,100
20200525,93535660,6473700,200
20200525,93535660,6473700,100
20200525,93536070,6473700,100
20200525,93536220,6473700,100
20200525,93539880,6481400,100
20200525,93539890,6473800,100
20200525,93542190,6473700,100
20200525,93542540,6474000,100
20200525,93545660,6473700,500
20200525,93545730,6473700,200
20200525,93545760,6474000,900
20200525,93545850,6480000,100
20200525,93545860,6480000,600
20200525,93546500,6474000,100
20200525,93546620,6474000,100
20200525,93548090,6474000,100
20200525,93548090,6473700,100
20200525,93548090,6473700,100
20200525,93548120,6473700,100
20200525,93548120,6473700,100
20200525,93548130,6473700,100
20200525,93548610,6473500,100
20200525,93548610,6473500,100
20200525,93548630,6473500,100
20200525,93548770,6473600,100
20200525,93549500,6473500,100
20200525,93549780,6473500,100
20200525,93549780,6473500,100
20200525,93550070,6473500,100
20200525,93550080,6473500,100
20200525,93550080,6473500,100
20200525,93550900,6473400,100
20200525,93551800,6470200,100
20200525,93552360,6473500,100
20200525,93552590,6470200,100
20200525,93552910,6473500,300
20200525,93552910,6473700,200
20200525,93555580,6470200,100
20200525,93556470,6473700,100
20200525,93557450,6470200,100
20200525,93558010,6470200,200
20200525,93558010,6470100,100
20200525,93558050,6470100,100
20200525,93600180,6469800,500
20200525,93600470,6469800,100
20200525,93600470,6469800,200
20200525,93600470,6469800,100
20200525,93600470,6469800,100
20200525,93600580,6469800,100
20200525,93600780,6468100,100
20200525,93600790,6468100,100
20200525,93600800,6468100,100
20200525,93600810,6468100,100
20200525,93600830,6468100,100
20200525,93600930,6468100,100
20200525,93601010,6468100,100
20200525,93601010,6468100,100
20200525,93601140,6468000,100
20200525,93601250,6468000,100
20200525,93601950,6467300,100
20200525,93602950,6468000,100
20200525,93602950,6468100,100
20200525,93602950,6468100,100
20200525,93602950,6469600,100
20200525,93603030,6469600,100
20200525,93603680,6462200,200
20200525,93603810,6460300,100
20200525,93603810,6460100,200
20200525,93603810,6460000,100
20200525,93603810,6460000,100
20200525,93603810,6460000,100
20200525,93603810,6460000,100
20200525,93603810,6459500,600
20200525,93603810,6459500,200
20200525,93603810,6455100,100
20200525,93605690,6460800,100
20200525,93606550,6460800,100
20200525,93606670,6455100,100
20200525,93606670,6455100,100
20200525,93606750,6455100,100
20200525,93606750,6455100,100
20200525,93606790,6455100,100
20200525,93606790,6455100,100
20200525,93606810,6455100,100
20200525,93606810,6455100,100
