Date,Open,High,Low,Close,Adj Close,Volume
2020-06-04,81.097504,81.404999,80.195000,80.580002,80.040680,87560400
2020-06-05,80.837502,82.937500,80.807503,82.875000,82.320328,137250400
2020-06-08,82.562500,83.400002,81.830002,83.364998,82.807037,95654400
2020-06-09,83.035004,86.402496,83.002502,85.997498,85.421921,147712400
2020-06-10,86.974998,88.692497,86.522499,88.209999,87.619614,166651600
2020-06-11,87.327499,87.764999,83.870003,83.974998,83.412964,201662400
2020-06-12,86.180000,86.949997,83.555000,84.699997,84.133095,200146000
2020-06-15,83.312500,86.419998,83.144997,85.747498,85.173584,138808800
2020-06-16,87.864998,88.300003,86.180000,88.019997,87.430885,165428800
2020-06-17,88.787498,88.849998,87.772499,87.897499,87.309204,114406400
2020-06-18,87.852501,88.362503,87.305000,87.932503,87.343979,96820400
2020-06-19,88.660004,89.139999,86.287498,87.430000,86.844833,264476000
2020-06-22,87.834999,89.864998,87.787498,89.717499,89.117027,135445200
2020-06-23,91.000000,93.095001,90.567497,91.632500,91.019203,212155600
2020-06-24,91.250000,92.197502,89.629997,90.014999,89.412537,192623200
2020-06-25,90.175003,91.250000,89.392502,91.209999,90.599533,137522400
2020-06-26,91.102501,91.330002,88.254997,88.407501,87.815788,205256800
2020-06-29,88.312500,90.542503,87.820000,90.445000,89.839653,130646000
2020-06-30,90.019997,91.495003,90.000000,91.199997,90.589600,140223200
2020-07-01,91.279999,91.839996,90.977501,91.027496,90.418251,110737200
2020-07-02,91.962502,92.617500,90.910004,91.027496,90.418251,114041600
2020-07-06,92.500000,93.945000,92.467499,93.462502,92.836960,118655600
2020-07-07,93.852501,94.654999,93.057503,93.172501,92.548889,112424400
2020-07-08,94.180000,95.375000,94.089996,95.342499,94.704369,117092000
2020-07-09,96.262497,96.317497,94.672501,95.752502,95.111641,125642800
2020-07-10,95.334999,95.980003,94.705002,95.919998,95.278015,90257200
2020-07-13,97.264999,99.955002,95.257500,95.477501,94.838470,191649200
2020-07-14,94.839996,97.254997,93.877502,97.057503,96.407898,170989200
2020-07-15,98.989998,99.247498,96.489998,97.724998,97.070930,153198000
2020-07-16,96.562500,97.404999,95.904999,96.522499,95.876472,110577600
2020-07-17,96.987503,97.147499,95.839996,96.327499,95.682777,92186800
2020-07-20,96.417503,98.500000,96.062500,98.357498,97.699188,90318000
2020-07-21,99.172501,99.250000,96.742500,97.000000,96.350784,103433200
2020-07-22,96.692497,97.974998,96.602501,97.272499,96.621452,89001600
2020-07-23,96.997498,97.077499,92.010002,92.845001,92.223587,197004400
2020-07-24,90.987503,92.970001,89.144997,92.614998,91.995125,185438800
2020-07-27,93.709999,94.904999,93.480003,94.809998,94.175430,121214000
2020-07-28,94.367500,94.550003,93.247498,93.252502,92.628365,103625600
2020-07-29,93.750000,95.230003,93.712502,95.040001,94.403893,90329200
2020-07-30,94.187500,96.297501,93.767502,96.190002,95.546204,158130000
2020-07-31,102.885002,106.415001,100.824997,106.260002,105.548805,374336800
2020-08-03,108.199997,111.637497,107.892502,108.937500,108.208389,308151200
2020-08-04,109.132500,110.790001,108.387497,109.665001,108.931015,173071600
2020-08-05,109.377502,110.392502,108.897499,110.062500,109.325851,121776800
2020-08-06,110.404999,114.412498,109.797501,113.902496,113.140152,202428800
2020-08-07,113.205002,113.675003,110.292503,111.112503,110.567833,198045600
2020-08-10,112.599998,113.775002,110.000000,112.727501,112.174911,212403600
2020-08-11,111.970001,112.482498,109.107498,109.375000,108.838837,187902400
2020-08-12,110.497498,113.275002,110.297501,113.010002,112.456024,165598000
2020-08-13,114.430000,116.042503,113.927498,115.010002,114.446213,210082000
2020-08-14,114.830002,115.000000,113.044998,114.907501,114.344223,165565200
2020-08-17,116.062500,116.087502,113.962502,114.607498,114.045685,119561600
2020-08-18,114.352501,116.000000,114.007500,115.562500,114.996010,105633600
2020-08-19,115.982498,117.162498,115.610001,115.707497,115.140297,145538000
2020-08-20,115.750000,118.392502,115.732498,118.275002,117.695213,126907200
2020-08-21,119.262497,124.867500,119.250000,124.370003,123.760338,338054800
2020-08-24,128.697495,128.785004,123.937500,125.857498,125.240540,345937600
2020-08-25,124.697502,125.180000,123.052498,124.824997,124.213104,211495600
2020-08-26,126.180000,126.992500,125.082497,126.522499,125.902283,163022400
2020-08-27,127.142502,127.485001,123.832497,125.010002,124.397202,155552400
2020-08-28,126.012497,126.442497,124.577499,124.807503,124.195694,187630000
2020-08-31,127.580002,131.000000,126.000000,129.039993,128.407440,225702700
2020-09-01,132.759995,134.800003,130.529999,134.179993,133.522247,151948100
2020-09-02,137.589996,137.979996,127.000000,131.399994,130.755875,200119000
2020-09-03,126.910004,128.839996,120.500000,120.879997,120.287437,257599600
2020-09-04,120.070000,123.699997,110.889999,120.959999,120.367050,332607200
2020-09-08,113.949997,118.989998,112.680000,112.820000,112.266953,231366600
2020-09-09,117.260002,119.139999,115.260002,117.320000,116.744888,176940500
2020-09-10,120.360001,120.500000,112.500000,113.489998,112.933670,182274400
2020-09-11,114.570000,115.230003,110.000000,112.000000,111.450974,180860300
2020-09-14,114.720001,115.930000,112.800003,115.360001,114.794502,140150100
2020-09-15,118.330002,118.830002,113.610001,115.540001,114.973625,184642000
2020-09-16,115.230003,116.000000,112.040001,112.129997,111.580330,154679000
