nTradingDay,nTime,ap1,ap2,ap3,ap4,ap5,av1,av2,av3,av4,av5,bp1,bp2,bp3,bp4,bp5,bv1,bv2,bv3,bv4,bv5
20200525,133254000,6559600,6559800,6560000,6560100,6560300,100,100,1600,100,200,6556300,6555400,6555000,6552000,6551800,100,400,290,200,100
20200525,133257000,6560000,6560100,6560300,6560500,6563300,400,100,200,100,100,6556300,6555400,6555000,6552000,6551800,100,500,100,200,100
20200525,133300000,6560100,6560300,6560500,6563300,6563500,100,200,100,100,100,6560000,6556300,6555400,6555000,6552000,300,100,500,100,200
20200525,133303000,6560300,6560500,6563300,6563500,6563600,300,100,100,100,100,6560000,6556300,6555400,6555000,6552000,300,100,500,100,200
20200525,133306000,6560000,6560100,6560300,6560500,6563300,200,110,300,100,100,6559600,6555400,6555000,6552000,6551800,100,500,100,100,100
20200525,133309000,6560100,6560300,6560500,6563300,6563500,110,300,100,100,100,6559600,6555400,6555000,6552000,6551800,100,500,100,100,100
20200525,133312000,6560000,6560100,6560300,6560500,6563300,200,110,300,100,100,6559600,6555400,6555000,6552000,6551800,100,500,100,200,100
20200525,133315000,6560300,6560500,6563300,6563500,6563600,200,100,100,100,100,6560200,6559600,6555400,6555000,6552000,1590,100,500,100,200
20200525,133318000,6560300,6560500,6563300,6563500,6563600,200,100,100,100,100,6560200,6560000,6559600,6555400,6555000,1590,700,100,500,100
20200525,133321000,6560500,6563300,6563500,6563600,6565000,100,100,100,100,100,6560300,6560200,6560000,6559600,6555400,490,1790,700,100,100
20200525,133324000,6565000,6566000,6566600,6567800,6570000,100,100,200,200,500,6560300,6560200,6560000,6559600,6555400,990,2190,700,100,100
20200525,133327000,6565000,6566000,6566600,6567800,6569900,100,100,200,200,100,6560300,6560200,6560000,6559600,6555400,1090,2190,800,100,100
20200525,133330000,6563000,6565000,6566000,6566600,6567800,900,100,100,200,200,6560400,6560300,6560200,6560000,6559600,400,1090,2190,800,100
20200525,133333000,6563000,6565000,6566000,6566600,6567800,400,100,100,200,200,6560400,6560300,6560200,6560000,6559600,100,1090,2190,800,100
20200525,133336000,6566600,6567800,6569900,6570000,6571400,200,200,200,500,100,6565000,6560500,6560400,6560300,6560200,100,100,400,1090,1790
20200525,133339000,6566600,6567800,6568800,6569900,6570000,200,200,200,200,500,6565100,6565000,6563000,6560500,6560400,600,100,100,100,400
20200525,133342000,6565800,6567800,6568800,6569900,6570000,800,100,200,200,500,6565100,6565000,6563000,6560600,6560500,500,100,100,100,100
20200525,133345000,6565800,6566600,6567800,6568800,6569900,800,110,100,200,200,6565100,6565000,6563000,6560600,6560500,600,100,100,100,100
20200525,133348000,6565800,6566600,6567800,6568800,6569900,100,110,200,200,200,6565500,6565100,6565000,6563000,6560600,100,600,100,100,100
20200525,133351000,6566600,6567800,6568800,6569900,6570000,110,200,200,200,600,6565500,6565100,6565000,6563000,6560600,100,600,100,100,100
20200525,133354000,6566600,6567600,6567800,6568800,6569900,10,800,200,200,200,6565800,6565100,6565000,6563000,6560600,100,600,100,100,100
20200525,133357000,6567600,6567700,6567800,6568800,6569900,410,200,200,200,200,6566600,6565100,6563000,6560600,6560500,100,600,100,100,200
20200525,133400000,6567600,6567700,6567800,6568800,6569900,410,200,200,200,200,6565800,6565100,6563000,6560600,6560500,100,600,100,100,200
20200525,133403000,6566000,6566600,6567600,6567700,6567800,500,1000,110,200,200,6565800,6565100,6563000,6560600,6560500,100,600,100,100,200
20200525,133406000,6566000,6566600,6567600,6567700,6567800,400,1000,210,200,200,6565800,6565100,6563000,6560600,6560500,300,600,100,100,200
20200525,133409000,6566600,6567600,6567700,6567800,6568500,1000,310,200,200,800,6565100,6563000,6560600,6560500,6560300,400,100,100,200,390
20200525,133412000,6566000,6566600,6567600,6567700,6567800,10,1000,310,200,200,6565100,6563000,6560600,6560500,6560300,200,100,100,200,390
20200525,133415000,6565000,6566000,6566500,6566600,6567600,100,810,300,1000,310,6560600,6560500,6560300,6560200,6560000,100,200,390,1590,800
20200525,133418000,6565100,6566000,6566500,6566600,6567600,100,910,300,1000,310,6560600,6560500,6560300,6560200,6560000,100,100,390,1590,800
20200525,133421000,6564800,6565100,6566000,6566500,6566600,100,100,910,300,1000,6560600,6560500,6560300,6560200,6560000,100,100,390,1590,800
20200525,133424000,6564800,6565000,6565100,6566000,6566500,100,300,100,910,300,6560200,6560000,6559800,6559600,6555000,180,800,300,100,100
20200525,133427000,6565000,6565100,6566000,6566500,6566600,400,100,910,300,1000,6560300,6560200,6560000,6559800,6559600,100,180,800,300,100
20200525,133430000,6565000,6565100,6566000,6566300,6566500,400,100,910,800,300,6560300,6560200,6560000,6559800,6559600,100,180,800,300,100
20200525,133433000,6564000,6565000,6565100,6566000,6566300,100,210,100,910,800,6560300,6560200,6560000,6559800,6559600,100,180,800,300,100
20200525,133436000,6565000,6565100,6566000,6566300,6566600,310,100,910,800,1000,6560200,6560000,6559800,6555000,6552000,180,800,300,100,100
20200525,133439000,6560200,6564800,6565000,6565100,6566000,720,100,410,100,910,6560000,6559800,6555000,6552000,6550800,800,300,100,100,100
20200525,133442000,6560200,6564700,6564800,6565000,6565100,720,100,200,410,100,6560000,6559800,6555000,6552000,6550800,700,300,100,100,100
20200525,133445000,6560200,6564700,6564800,6565000,6565100,620,100,500,410,100,6560000,6559800,6555000,6552000,6550800,1400,300,100,100,100
20200525,133448000,6560200,6564000,6564700,6564800,6565000,520,800,100,500,410,6560000,6559800,6555000,6552000,6550800,1300,300,100,100,100
20200525,133451000,6564000,6564400,6564700,6564800,6565000,800,100,100,500,710,6560200,6560000,6559800,6555000,6552000,280,700,300,100,100
20200525,133454000,6564000,6564400,6564700,6564800,6565000,600,100,100,500,710,6560200,6560000,6559800,6555000,6552000,180,700,300,100,100
20200525,133457000,6560000,6560100,6564000,6564400,6564700,220,300,600,100,100,6559800,6555000,6552000,6550800,6550000,300,100,100,100,400
20200525,133500000,6560000,6560100,6563900,6564000,6564400,320,300,200,600,100,6559800,6555800,6555000,6552000,6550800,200,100,100,100,100
20200525,133506000,6560000,6560100,6563900,6564000,6564400,320,300,200,600,100,6559800,6555800,6555000,6552000,6550800,200,100,100,100,100
20200525,133509000,6560100,6563800,6563900,6564000,6564400,300,100,400,600,100,6560000,6559800,6555800,6555000,6552000,180,200,100,100,100
20200525,133512000,6560100,6563500,6563800,6563900,6564000,400,800,100,400,700,6560000,6559800,6555800,6555000,6552000,180,200,100,100,100
20200525,133515000,6560100,6563500,6563800,6563900,6564000,300,800,100,400,700,6560000,6559800,6555800,6555000,6552000,80,200,100,100,100
20200525,133518000,6560000,6560100,6563500,6563800,6563900,120,400,800,100,400,6559800,6555800,6555000,6552000,6550800,200,100,100,100,100
20200525,133521000,6560000,6560100,6563500,6563800,6563900,220,400,800,100,400,6555800,6555000,6552000,6550800,6550000,100,100,100,100,400
20200525,133524000,6559800,6560000,6560100,6563500,6563800,100,20,500,800,100,6552000,6550800,6550000,6549400,6549000,100,100,400,100,100
20200525,133527000,6559800,6560000,6560100,6563500,6563800,100,220,500,800,100,6550800,6550000,6549400,6549000,6548000,100,400,100,100,400
20200525,133530000,6559800,6560000,6560100,6560800,6563500,200,220,500,200,800,6550800,6550000,6549400,6549000,6548000,100,400,100,100,400
20200525,133533000,6559800,6560000,6560100,6560800,6563500,100,220,500,200,800,6550800,6550000,6549400,6549000,6548000,100,400,100,100,400
20200525,133536000,6559700,6559800,6560000,6560100,6560800,100,10,420,500,200,6550000,6549400,6549000,6548000,6547900,400,100,100,400,200
20200525,133539000,6559800,6560000,6560100,6560800,6563400,10,420,500,200,100,6550000,6549400,6549000,6548000,6547900,200,100,100,400,200
20200525,133542000,6559800,6560000,6560100,6560800,6563500,210,420,500,200,800,6549400,6549000,6548000,6547900,6547800,100,100,400,200,200
20200525,133545000,6559500,6559700,6559800,6560000,6560100,100,100,410,420,500,6550100,6549400,6549000,6548000,6547900,100,100,100,400,200
