nTradingDay,nTime,ap1,ap2,ap3,ap4,ap5,av1,av2,av3,av4,av5,bp1,bp2,bp3,bp4,bp5,bv1,bv2,bv3,bv4,bv5
20200527,100551000,6667000,6669800,6670000,6671000,6671200,52,200,600,100,100,6661800,6660000,6656800,6656600,6656500,100,200,200,100,200
20200527,100554000,6667000,6669800,6670000,6671000,6671200,52,200,600,100,100,6666600,6665000,6664800,6661800,6660000,100,1300,1600,100,200
20200527,100557000,6667000,6669800,6670000,6671000,6671200,52,200,600,100,100,6664800,6661800,6660000,6656800,6656600,1367,100,200,200,100
20200527,100603000,6667000,6669800,6670000,6671000,6671200,52,200,600,100,100,6665000,6664800,6661800,6660000,6656800,100,1067,100,300,200
20200527,100606000,6669800,6670000,6671000,6671200,6672400,52,600,100,100,200,6666000,6665000,6664800,6661800,6660000,300,100,1067,100,300
20200527,100609000,6669800,6670000,6671000,6671200,6672400,52,600,100,100,200,6667000,6666000,6665000,6664800,6661800,100,300,200,1067,100
20200527,100612000,6669800,6670000,6671000,6671200,6672400,152,600,100,100,200,6667000,6666000,6665000,6664800,6662000,600,300,200,1067,100
20200527,100615000,6669800,6670000,6671000,6671200,6672400,152,700,100,100,200,6667000,6666000,6665000,6664800,6662000,700,300,200,1067,100
20200527,100618000,6669800,6670000,6671000,6671200,6672400,52,700,100,100,200,6667000,6666000,6665000,6664800,6662000,600,300,200,1067,100
20200527,100621000,6669800,6670000,6671000,6671200,6672400,52,700,100,100,200,6667000,6666000,6665000,6664800,6662000,500,300,200,1067,100
20200527,100624000,6670000,6671000,6671200,6672400,6673800,700,100,100,200,600,6669900,6669800,6667000,6666000,6665000,100,48,500,300,200
20200527,100627000,6670000,6671000,6671200,6672400,6673800,700,100,100,200,600,6669800,6667000,6666000,6665000,6664800,100,348,300,200,1067
20200527,100630000,6669800,6670000,6671000,6671200,6672400,500,800,100,100,200,6667000,6666000,6665000,6664800,6662000,348,300,200,1067,100
20200527,100633000,6670000,6671000,6671200,6672400,6673800,600,100,100,200,600,6667100,6667000,6666000,6665000,6664800,100,348,300,200,1067
20200527,100636000,6670000,6671000,6671200,6672400,6673800,600,100,100,200,600,6667100,6667000,6666000,6665000,6664800,100,348,300,200,1067
20200527,100639000,6670000,6671000,6671200,6672400,6673800,600,100,100,200,600,6667100,6667000,6666000,6665000,6664800,100,348,300,200,1067
20200527,100642000,6670000,6671000,6671200,6672400,6673800,500,100,100,200,600,6667100,6667000,6666000,6665000,6664800,100,348,300,200,1067
20200527,100645000,6670000,6671000,6671200,6672400,6673800,500,100,100,200,600,6667100,6667000,6666000,6665000,6664800,100,348,300,200,1067
20200527,100648000,6670000,6671000,6671200,6672400,6673800,800,100,100,200,600,6667100,6667000,6666000,6665000,6664800,100,348,300,200,1067
20200527,100651000,6669700,6670000,6671000,6671200,6672400,100,800,100,100,200,6667000,6666000,6665000,6664800,6662000,345,300,200,1067,100
20200527,100654000,6667100,6669700,6670000,6671000,6671200,100,100,800,100,100,6667000,6666000,6665000,6664800,6662000,345,300,200,1067,100
20200527,100657000,6667100,6669700,6669800,6670000,6671000,100,100,300,800,100,6667000,6666000,6665000,6664800,6662000,345,300,200,1067,100
20200527,100700000,6669700,6669800,6670000,6671000,6671200,100,300,800,100,100,6667000,6666000,6665000,6662000,6661800,245,300,200,100,200
20200527,100703000,6669700,6669800,6670000,6671000,6671200,200,300,600,100,100,6667000,6666000,6665000,6662000,6661800,245,300,200,100,200
20200527,100706000,6667000,6669700,6669800,6670000,6671000,55,300,300,600,100,6666000,6665000,6662000,6661800,6660800,300,200,100,200,100
20200527,100709000,6667000,6669700,6669800,6670000,6671000,155,300,300,600,100,6666000,6665000,6662000,6661800,6660800,300,200,100,200,100
20200527,100712000,6667000,6669700,6670000,6671000,6671200,55,300,600,100,100,6666000,6665000,6662000,6661800,6660800,200,200,100,200,100
20200527,100715000,6667000,6667500,6669700,6670000,6671000,55,100,300,200,100,6662000,6661800,6660800,6660200,6660000,100,200,100,100,500
20200527,100718000,6667000,6667500,6669700,6670000,6671000,455,200,300,200,100,6662000,6661800,6660800,6660200,6660000,100,200,100,100,500
20200527,100721000,6667000,6667500,6669700,6670000,6671000,455,200,200,200,100,6662000,6661800,6660800,6660200,6660000,100,200,100,100,500
