nTradingDay,nTime,ap1,ap2,ap3,ap4,ap5,av1,av2,av3,av4,av5,bp1,bp2,bp3,bp4,bp5,bv1,bv2,bv3,bv4,bv5
20200526,93000000,6639800,6640000,6649900,6650000,6650400,500,200,100,500,200,6635000,6633300,6633100,6632700,6631800,200,2800,100,200,15000
20200526,93003000,6641900,6648900,6649000,6649600,6649700,8000,100,100,100,100,6640900,6640000,6639900,6639800,6635800,100,4100,100,200,100
20200526,93006000,6640900,6641900,6645000,6647700,6648900,200,3210,100,1100,100,6639800,6638800,6635800,6635000,6633500,100,100,100,200,100
20200526,93009000,6640000,6640800,6640900,6641900,6642900,2000,1000,800,3210,200,6635000,6633500,6633300,6633100,6632700,200,100,3100,100,200
20200526,93012000,6635000,6639900,6640000,6640800,6640900,400,1600,1900,1000,200,6633300,6633100,6632700,6631700,6630200,3100,100,200,1500,1100
20200526,93015000,6640800,6641900,6645000,6647700,6648700,100,2610,100,1100,100,6640000,6633100,6632700,6631700,6630200,10300,100,200,1500,1100
20200526,93018000,6641900,6645000,6647700,6648700,6648900,2610,100,1100,100,100,6640000,6635000,6633100,6632700,6631700,9500,100,100,200,1500
20200526,93021000,6641900,6645000,6647700,6648700,6648900,910,100,1100,100,100,6640000,6639900,6635000,6633100,6632700,9400,100,200,100,200
20200526,93024000,6641900,6645000,6647700,6648700,6648900,710,100,1100,100,1300,6633300,6633100,6632700,6631700,6630200,100,100,200,1500,1100
20200526,93027000,6639600,6640000,6641900,6645000,6645800,100,848,710,100,200,6633300,6633100,6632700,6631700,6630200,100,100,200,1500,1100
20200526,93030000,6635000,6639900,6640000,6640900,6641900,400,200,5358,100,710,6633400,6633300,6633100,6632700,6631700,43,100,100,200,1500
20200526,93033000,6633100,6635000,6639000,6639900,6640000,157,800,100,200,5958,6631700,6630200,6630000,6628000,6626800,1500,1100,6500,100,200
20200526,93036000,6640000,6640900,6641800,6641900,6645000,3668,100,100,710,300,6633300,6630200,6630000,6628000,6626300,100,1000,6500,100,100
20200526,93039000,6631700,6633100,6639000,6639800,6640000,300,100,300,100,2225,6630000,6628000,6626300,6625400,6625100,3100,100,100,100,100
20200526,93042000,6630200,6635000,6640000,6640900,6641800,600,100,1868,100,100,6630000,6628000,6626300,6625400,6625100,2900,100,100,100,100
20200526,93045000,6630100,6630200,6633300,6635000,6639000,357,600,400,100,100,6630000,6628000,6626300,6625400,6621100,2100,100,100,100,200
20200526,93048000,6629900,6630000,6630100,6630200,6633300,100,2500,357,700,400,6626300,6625400,6621100,6620300,6620100,100,100,200,1000,600
20200526,93051000,6630000,6630200,6630900,6633300,6635000,1800,700,100,400,100,6625400,6621100,6620300,6620100,6620000,100,200,1000,600,2200
20200526,93054000,6630000,6630200,6630900,6633300,6635000,2357,600,100,400,100,6625400,6621100,6620300,6620100,6620000,100,200,1000,600,2200
20200526,93057000,6625400,6626300,6629900,6630000,6630200,100,900,200,2657,600,6621200,6621100,6620300,6620100,6620000,200,200,1000,600,2300
20200526,93100000,6625400,6630000,6630200,6631700,6633300,700,1757,600,100,400,6621200,6617000,6615200,6615000,6614000,100,1000,500,100,100
20200526,93103000,6621200,6625400,6629900,6630000,6630200,100,100,300,2257,600,6617000,6615200,6615000,6614000,6613100,900,500,100,100,100
20200526,93106000,6630200,6631700,6633300,6635000,6639000,57,100,400,200,100,6617100,6617000,6615200,6615000,6614000,100,900,500,100,100
20200526,93109000,6623000,6630000,6630200,6631700,6633300,200,800,57,100,400,6617000,6615200,6615000,6614000,6613100,900,500,100,100,100
20200526,93112000,6630000,6630200,6631700,6633300,6635000,900,57,100,400,200,6618400,6617100,6617000,6615000,6614000,100,100,900,100,100
20200526,93115000,6630000,6630200,6631700,6633300,6635000,200,57,100,400,200,6621200,6620000,6618400,6615100,6615000,600,800,100,100,100
20200526,93118000,6630000,6630200,6631700,6633300,6635000,100,57,100,400,200,6620000,6618400,6617600,6615100,6615000,9700,100,200,100,100
20200526,93121000,6630000,6630200,6631700,6633300,6635000,100,57,100,100,200,6620000,6617600,6617000,6615100,6615000,6900,200,100,100,100
20200526,93124000,6630200,6631700,6632700,6633300,6635000,57,100,100,100,200,6630000,6620000,6617600,6617000,6615100,100,6800,200,200,100
20200526,93127000,6631700,6632700,6633300,6635000,6639400,57,100,100,200,100,6630200,6630000,6620200,6620000,6618800,900,300,200,6700,200
20200526,93130000,6639400,6639900,6640000,6640900,6641000,100,100,2368,100,100,6635000,6630200,6630000,6620800,6620200,943,1000,200,200,200
20200526,93133000,6639400,6640000,6640900,6641000,6641800,500,2268,100,100,100,6630200,6630000,6620800,6620200,6620000,643,1400,200,200,6700
20200526,93136000,6639400,6640000,6640200,6640900,6641000,300,2268,100,100,100,6630200,6630000,6620900,6620800,6620200,343,1300,100,200,200
20200526,93139000,6637800,6639400,6639900,6640000,6640200,157,200,100,2268,100,6620900,6620800,6620200,6620000,6618800,100,200,200,6800,300
20200526,93142000,6639400,6640000,6640200,6640900,6641000,300,625,100,100,100,6621000,6620900,6620800,6620200,6620000,100,100,200,200,6800
20200526,93145000,6639900,6640000,6640200,6640900,6641000,300,625,100,100,100,6639400,6637800,6630000,6621000,6620900,900,300,300,100,100
20200526,93148000,6645000,6645200,6645800,6647700,6648700,300,100,200,1100,100,6641900,6641000,6640000,6639900,6639300,90,8575,20100,100,200
